id,vector,name,price,description,clean_text
54389677,https://www.meesho.com/s/p/2yc8i6?utm_source=s,Pretty Sensational Women Tops & Tunics,254,Pretty Sensational Women Tops & Tunics Georgette,woman sensat top tunic pretti georgett
12915693,https://www.meesho.com/s/p/ukzq9?utm_source=s,Fancy Retro Women  & Tunics,249,Fancy Retro Women  & Tunics ,woman retro fanci tunic
51699761,https://www.meesho.com/s/p/2tc6vu?utm_source=s,Stylish Modern Women  & Tunics,197,Stylish Modern Women  & Tunics ,woman modern tunic stylish
26424897,https://www.meesho.com/s/p/1j1p05?utm_source=s,Pretty Designer Women Tops & Tunics,147,Pretty Designer Women Tops & Tunics Viscose,woman viscos top design tunic pretti
37958118,https://www.meesho.com/s/p/24vidg?utm_source=s,Classic Retro Women  & Tunics,250,Classic Retro Women  & Tunics ,woman retro tunic classic
47474686,https://www.meesho.com/s/p/2lnhj8?utm_source=s,Stylish Fabulous Women  & Tunics,249,Stylish Fabulous Women  & Tunics ,woman tunic fabul stylish
11186840,https://www.meesho.com/s/p/r6g9b?utm_source=s,Myra AttractiveTop and Tunics,258,Myra AttractiveTop and Tunics Rayon,rayon tunic attractivetop myra
21484089,https://www.meesho.com/s/p/19w9z7?utm_source=s,Stylish Partywear Women  & Tunics,149,Stylish Partywear Women  & Tunics ,partywear woman tunic stylish
80664662,https://www.meesho.com/s/p/4jhgn2?utm_source=s,Classic Feminine Women Tops & Tunics,172,Classic Feminine Women Tops & Tunics Cotton / Cotton Blend,woman top feminin tunic cotton blend classic
19559437,https://www.meesho.com/s/p/16ja8z?utm_source=s,Classy Elegant Women  & Tunics,233,Classy Elegant Women  & Tunics ,woman classi tunic eleg
48376303,https://www.meesho.com/s/p/2n92ue?utm_source=s,Comfy Designer Women Tops & Tunics,145,Comfy Designer Women Tops & Tunics Cotton Blend,comfi woman top design tunic cotton blend
71069228,https://www.meesho.com/s/p/3x8rs1?utm_source=s,Trendy Retro Women Tops & Tunics,171,Trendy Retro Women Tops & Tunics Lycra / Cotton / Cotton Blend,trendi woman retro top tunic cotton blend lycra
46365336,https://www.meesho.com/s/p/2jqeuy?utm_source=s,Comfy Designer Women  & Tunics,263,Comfy Designer Women  & Tunics ,comfi woman design tunic
76139255,https://www.meesho.com/s/p/48n818?utm_source=s,Stylish Fabulous Women Tops & Tunics,199,Stylish Fabulous Women Tops & Tunics Cotton,woman top tunic cotton fabul stylish
77890567,https://www.meesho.com/s/p/4cxmw3?utm_source=s,Pretty Fashionista Women Tops & Tunics,145,Pretty Fashionista Women Tops & Tunics Georgette,woman top tunic pretti fashionista georgett
81454839,https://www.meesho.com/s/p/4lcqsw?utm_source=s,Fancy Feminine Women Tops & Tunics,155,Fancy Feminine Women Tops & Tunics Cotton Blend,woman fanci top feminin tunic cotton blend
66999559,https://www.meesho.com/s/p/3oq4ry?utm_source=s,Classic Feminine Women Tops & Tunics,331,Classic Feminine Women Tops & Tunics Lycra,woman top feminin tunic lycra classic
63194080,https://www.meesho.com/s/p/3gdrtx?utm_source=s,Comfy Modern Women Tops & Tunics,369,Comfy Modern Women Tops & Tunics Cotton,comfi woman top modern tunic cotton
74314991,https://www.meesho.com/s/p/44dy0d?utm_source=s,Fancy Fabulous Women Tops & Tunics,137,Fancy Fabulous Women Tops & Tunics Cotton Blend,woman fanci top tunic cotton blend fabul
68683279,https://www.meesho.com/s/p/3s5xtk?utm_source=s,Comfy Partywear Women Tops & Tunics,233,Comfy Partywear Women Tops & Tunics Crepe,partywear comfi crepe woman top tunic
16114013,https://www.meesho.com/s/p/10f6w0?utm_source=s,Trendy Fashionista Men Shirts,1044,Trendy Fashionista Men Shirts Cotton Blend,trendi shirt cotton blend fashionista men
79974148,https://www.meesho.com/s/p/4hs058?utm_source=s,Comfy Elegant Men Tshirts,162,Comfy Elegant Men Tshirts Lycra,comfi eleg lycra tshirt men
74316419,https://www.meesho.com/s/p/44e0o3?utm_source=s,Fancy Fashionable Men Tshirts,199,Fancy Fashionable Men Tshirts Polyester,fanci fashion polyest tshirt men
10430470,https://www.meesho.com/s/p/pmang?utm_source=s,Comfy Designer Men Tshirts,230,Comfy Designer Men Tshirts Cotton Blend,comfi design cotton blend tshirt men
45696495,https://www.meesho.com/s/p/2ij9tb?utm_source=s,Trendy Fabulous Men Tshirts,274,Trendy Fabulous Men Tshirts Cotton Blend,trendi cotton blend fabul tshirt men
39139229,https://www.meesho.com/s/p/270k2j?utm_source=s,Vellical Men Shirts,287,Vellical Men Shirts Cotton Blend,vellic shirt blend cotton men
10017373,https://www.meesho.com/s/p/orj22?utm_source=s,Youth First Men Shirts,557,Youth First Men Shirts Cotton Blend,first shirt cotton blend youth men
10410060,https://www.meesho.com/s/p/pkr98?utm_source=s,Farbot Men's Tshirts,198,Farbot Men's Tshirts ,men tshirt farbot
57005148,https://www.meesho.com/s/p/33m9gf?utm_source=s,Casual Unique Men Trouser ,289,Casual Unique Men Trouser  Lycra,uniqu trouser casual lycra men
40768989,https://www.meesho.com/s/p/29yy0p?utm_source=s,Fancy Glamorous Men Tshirts,215,Fancy Glamorous Men Tshirts Cotton,glamor fanci cotton tshirt men
77073727,https://www.meesho.com/s/p/4ay61a?utm_source=s,Trendy Fashionable Men Shirts,250,Trendy Fashionable Men Shirts Cotton / Cotton Blend,trendi shirt fashion cotton blend men
41725381,https://www.meesho.com/s/p/2bpies?utm_source=s,Trendy Ravishing Men Tshirts,190,Trendy Ravishing Men Tshirts ,trendi tshirt men ravish
23118604,https://www.meesho.com/s/p/1cr1p0?utm_source=s,Casual Modern Men Trousers,418,Casual Modern Men Trousers Polyester,trouser casual modern polyest men
80797752,https://www.meesho.com/s/p/4jr8g9?utm_source=s,Classic Modern Men Tshirts,98,Classic Modern Men Tshirts Polyester / Polycotton,polycotton modern polyest classic tshirt men
69717258,https://www.meesho.com/s/p/3uejgu?utm_source=s,Trendy Fabulous Men Tshirts,426,Trendy Fabulous Men Tshirts Polycotton / Poly Blend,trendi polycotton poli blend fabul tshirt men
